column,dtype,unit,temporal_window,description,derivation,source
pixel_id,int64,identifier,static,Stable row identifier for the released candidate-pixel table,Sequential integer assigned after row-major extraction of retained pixels,Project grid
row,int32,index,static,Zero-based row index in the 1 km reference grid,Reference-raster row of the pixel center,Project grid
col,int32,index,static,Zero-based column index in the 1 km reference grid,Reference-raster column of the pixel center,Project grid
x,float64,metre,static,Pixel-center easting in NAD83 / CONUS Albers,Computed from the reference-grid affine transform,Project grid
y,float64,metre,static,Pixel-center northing in NAD83 / CONUS Albers,Computed from the reference-grid affine transform,Project grid
t0_year,int16,calendar year,2005–2022,First retained fire year for the pixel,Selected from the MTBS fire-year layer after candidate filtering,MTBS
sev,float32,MTBS severity class code,at t0,Fire severity class at the retained fire event,Sampled from the MTBS severity layer for t0; released codes range from 1 through 6,MTBS
Forest_at_t0,float32,binary 0/1,at t0,Indicator that the pixel met the retained forest mask at fire time,NLCD-by-t0 forest mask; released rows are all 1,NLCD / project mask
Bi,float32,RESI proportion,t0-5 through t0-1,Pre-fire RESI baseline,Mean of valid annual RESI values in the five years before fire,Project-derived annual RESI
Rmin,float32,RESI proportion,t0 through t0+1,Immediate post-fire RESI minimum,Minimum annual RESI across the fire year and following year,Project-derived annual RESI
Resistance,float32,ratio,t0 through t0+1 relative to pre-fire,Immediate resistance relative to baseline,Rmin divided by Bi,Project-derived annual RESI
T50,float32,years after t0,t0+2 through t0+9,Time to recover to 50 percent of Bi,First post-fire offset reaching 0.50 times Bi; set to 10 when not reached,Project-derived annual RESI
T50_reached,float32,binary 0/1,t0+2 through t0+9,Whether the 50 percent recovery threshold was observed,One when any eligible post-fire RESI reaches 0.50 times Bi,Project-derived annual RESI
T80,float32,years after t0,t0+2 through t0+9,Time to recover to 80 percent of Bi,First post-fire offset reaching 0.80 times Bi; set to 10 when not reached,Project-derived annual RESI
T80_reached,float32,binary 0/1,t0+2 through t0+9,Whether the 80 percent recovery threshold was observed,One when any eligible post-fire RESI reaches 0.80 times Bi,Project-derived annual RESI
T90,float32,years after t0,t0+2 through t0+9,Time to recover to 90 percent of Bi,First post-fire offset reaching 0.90 times Bi; set to 10 when not reached,Project-derived annual RESI
T90_reached,float32,binary 0/1,t0+2 through t0+9,Whether the 90 percent recovery threshold was observed,One when any eligible post-fire RESI reaches 0.90 times Bi,Project-derived annual RESI
T95,float32,years after t0,t0+2 through t0+9,Time to recover to 95 percent of Bi,First post-fire offset reaching 0.95 times Bi; set to 10 when not reached,Project-derived annual RESI
T95_reached,float32,binary 0/1,t0+2 through t0+9,Whether the 95 percent recovery threshold was observed,One when any eligible post-fire RESI reaches 0.95 times Bi,Project-derived annual RESI
IRI_gap,float32,proportion,t0 through t0+9,Integrated recovery deficit relative to the pre-fire baseline,clip(1 - observed ten-year RESI area / baseline area; 0; 1),Project-derived annual RESI
IRI_good,float32,proportion,t0 through t0+9,Integrated recovery index oriented so larger is better,clip(1 - IRI_gap; 0; 1),Project-derived annual RESI
IRI_good_pow2,float32,proportion squared,t0 through t0+9,Squared integrated recovery response used in the main analysis,IRI_good squared,Project-derived annual RESI
RESI_post_CV,float32,ratio,t0 through t0+9,Coefficient of variation of the interpolated post-fire RESI series,Standard deviation divided by mean of the nonnegative ten-year RESI segment,Project-derived annual RESI
STAB_CV,float32,index 0–1,t0 through t0+9,Stability transform of post-fire RESI variability,1 divided by (1 + RESI_post_CV),Project-derived annual RESI
