column,dtype,non_null,null_count,null_fraction,unique_non_null
pixel_id,int64,133409,0,0.0,133409
row,int32,133409,0,0.0,2103
col,int32,133409,0,0.0,1668
x,float64,133409,0,0.0,1668
y,float64,133409,0,0.0,2103
t0_year,int16,133409,0,0.0,18
sev,float32,133409,0,0.0,6
Forest_at_t0,float32,133409,0,0.0,1
Bi,float32,133409,0,0.0,48759
Rmin,float32,133409,0,0.0,7657
Resistance,float32,133409,0,0.0,132525
T50,float32,56266,77143,0.5782443463334558,9
T50_reached,float32,56266,77143,0.5782443463334558,2
T80,float32,56266,77143,0.5782443463334558,9
T80_reached,float32,56266,77143,0.5782443463334558,2
T90,float32,56266,77143,0.5782443463334558,9
T90_reached,float32,56266,77143,0.5782443463334558,2
T95,float32,56266,77143,0.5782443463334558,9
T95_reached,float32,56266,77143,0.5782443463334558,2
IRI_gap,float32,56266,77143,0.5782443463334558,47363
IRI_good,float32,56266,77143,0.5782443463334558,47363
IRI_good_pow2,float32,56266,77143,0.5782443463334558,47363
RESI_post_CV,float32,56266,77143,0.5782443463334558,56203
STAB_CV,float32,56266,77143,0.5782443463334558,55168
STAB_good,float32,56266,77143,0.5782443463334558,55168
STAB_good_pow2,float32,56266,77143,0.5782443463334558,55168
AUC_deficit,float32,56266,77143,0.5782443463334558,47524
FS_EVT2022_code,int32,133409,0,0.0,190
FS_EVT_resistance_proxy,float32,121770,11639,0.08724298960340007,5
FS_EVT_regeneration_proxy,float32,121770,11639,0.08724298960340007,5
FS_EVT_group_class,object,121770,11639,0.08724298960340007,5
TS_elev_m,float32,133409,0,0.0,3451
TS_slope_deg,float32,133409,0,0.0,37
TS_northness,float32,133409,0,0.0,182
TS_eastness,float32,133409,0,0.0,182
TS_twi,float32,133409,0,0.0,18836
TS_roughness,float32,133409,0,0.0,117195
TS_SOC_0_30cm,float32,133409,0,0.0,101
HUM_popdens_source_year,int16,133409,0,0.0,4
HUM_popdens_win10km,float32,133409,0,0.0,121199
HUM_viirs_source_year,int16,133409,0,0.0,10
HUM_viirs_near_t0,float32,133409,0,0.0,133034
HUM_imperv_source_year,int16,133409,0,0.0,7
HUM_imperv_near_t0,float32,133409,0,0.0,25
CLIM_pr_sum_pre,float32,133409,0,0.0,20579
CLIM_pr_sum_post,float32,133409,0,0.0,17911
CLIM_eto_sum_pre,float32,133409,0,0.0,20795
CLIM_eto_sum_post,float32,133409,0,0.0,18390
CLIM_vpd_mean_pre,float32,133409,0,0.0,21550
CLIM_vpd_mean_post,float32,133409,0,0.0,20880
CLIM_tmmx_mean_pre,float32,133409,0,0.0,21557
CLIM_tmmx_mean_post,float32,133409,0,0.0,20975
CLIM_tmmn_mean_pre,float32,133409,0,0.0,21644
CLIM_tmmn_mean_post,float32,133409,0,0.0,21238
CLIM_tmmx_max_pre,float32,133409,0,0.0,16854
CLIM_tmmx_max_post,float32,133409,0,0.0,12325
CLIM_hot_days_30C_pre,float32,133409,0,0.0,367
CLIM_hot_days_30C_post,float32,133409,0,0.0,250
CLIM_hot_days_35C_pre,float32,133409,0,0.0,205
CLIM_hot_days_35C_post,float32,133409,0,0.0,151
CLIM_water_deficit_pre,float32,133409,0,0.0,21188
CLIM_water_deficit_post,float32,133409,0,0.0,19366
CLIM_aridity_pre,float32,133409,0,0.0,21773
CLIM_aridity_post,float32,133409,0,0.0,21775
CLIM_tmmx_std_pre,float32,133409,0,0.0,21726
CLIM_tmmx_std_post,float32,133409,0,0.0,21737
CLIM_vpd_std_pre,float32,133409,0,0.0,21752
CLIM_vpd_std_post,float32,133409,0,0.0,21750
FS_CBH_1km,float32,133409,0,0.0,90
FS_CBH_1km_z,float32,133409,0,0.0,90
FS_CBH_t0agg_source_year,int16,133409,0,0.0,6
FS_CBH_t0agg,float32,133409,0,0.0,93
FS_CBH_t0agg_z,float32,133409,0,0.0,93
FS_TCC_t0_source_year,int16,133409,0,0.0,18
FS_TCC_t0,float64,133372,37,0.00027734260806992035,91
FS_TCC_t0_z,float32,133372,37,0.00027734260806992035,91
HUM_roaddens_r5km,float32,133409,0,0.0,117690
HUM_traildens_r10km,float32,133409,0,0.0,132530
HUM_roaddens_r5km_z,float32,133409,0,0.0,113649
HUM_traildens_r10km_z,float32,133409,0,0.0,132097
lon_wgs84,float64,133409,0,0.0,133409
lat_wgs84,float64,133409,0,0.0,133409
region,object,133409,0,0.0,5
