release_version,folder,file_name,size_bytes,sha256,drive_file_id,drive_url,access,notes
0.1.0,01_analysis_ready_data,westernus_model_table.parquet,21686697,2675c4b1b24846bdc52f72b2f15f89cd086626cdfca6a654bf28bf6d9897ec7a,1emn1SUqd8l2XTYcdi9GQ-kmzBbtFWZCM,https://drive.google.com/file/d/1emn1SUqd8l2XTYcdi9GQ-kmzBbtFWZCM/view,public read-only inherited,Final 133409-row 83-column analysis table
0.1.0,01_analysis_ready_data,westernus_split_assignments.parquet,1267657,db3dea2618d052762327da0cbb5b3ab961a3bab56b2abad0b52a8f779229f19c,1jscuHDtkVUsTi16V19qpuZbf4hnuaQIL,https://drive.google.com/file/d/1jscuHDtkVUsTi16V19qpuZbf4hnuaQIL/view,public read-only inherited,Deterministic random and 100-km spatial-block assignments
0.1.0,01_analysis_ready_data,western-us-postfire-resilience-data-v0.1.0.zip,29103036,85f796d0859ad16c082a7c3d96eea229554a932bed2d166fa7c96661fddcd458,1vpeKEfcI9-MhIm31KPqxvDMnTpmN_QR1,https://drive.google.com/file/d/1vpeKEfcI9-MhIm31KPqxvDMnTpmN_QR1/view,public read-only inherited,Portable bundle containing analysis data results field dictionary source documentation citation and data license
0.1.0,01_analysis_ready_data,mgwr_constraint_management_zones_q75.gpkg,6836224,d17294db18e5ff8681a3e13424707de0dd4990bb2b49cd241a1ca548113fdd10,11xBctNSEZ7zAkwEuc5tVL6R9F4VODPtr,https://drive.google.com/file/d/11xBctNSEZ7zAkwEuc5tVL6R9F4VODPtr/view,public read-only inherited,Final EPA Level III management-zone spatial layer
0.1.0,02_large_derived_artifacts,points_with_epa_l3_assignment_multiresponse.parquet,58791870,e8928c5d4e500bf1671bb4011c09decb90d46147c6dbdaa8085e90efbfb92c00,1M-ktFhnk4qh7qoQI6e6bTX8D3Rha8UQY,https://drive.google.com/file/d/1M-ktFhnk4qh7qoQI6e6bTX8D3Rha8UQY/view,public read-only inherited,Large derived point-to-ecoregion table used by multiresponse zoning
0.1.0,02_large_derived_artifacts,spatialized_point_zones_full_candidate.parquet,24358983,7128b2c97fa2dee33e00cf20d768c4776c3c60db1e0a13d0dab3f5780bbcebd2,1Drj3YzEIK_0CY-4EyGaashdeosp2rt99,https://drive.google.com/file/d/1Drj3YzEIK_0CY-4EyGaashdeosp2rt99/view,public read-only inherited,Input point table required by compute_multiresponse_zoning.py
0.1.0,02_large_derived_artifacts,Resistance_mgwr_complete_coefficients.parquet,6821208,301c05a2e408b36279ed6a664e2ba847c8519439b4600868dd177e56077decb7,1r87WJvx7ufoo5aIbmpB7AzfTUmA6CH9w,https://drive.google.com/file/d/1r87WJvx7ufoo5aIbmpB7AzfTUmA6CH9w/view,public read-only inherited,Complete-sample Resistance MGWR coefficients used by final zoning
0.1.0,02_large_derived_artifacts,IRI_good_pow2_mgwr_complete_coefficients.parquet,6821208,e9c027ce37205ae732be2864a4d1a30a34429a75fa180600060c0b758f174bf1,1QJXVhXZRu99sYZtijmjyF5NvIBmTU616,https://drive.google.com/file/d/1QJXVhXZRu99sYZtijmjyF5NvIBmTU616/view,public read-only inherited,Complete-sample IRI MGWR coefficients used by final zoning
0.1.0,02_large_derived_artifacts,STAB_good_pow2_mgwr_complete_coefficients.parquet,6821210,39f4aef3ded18b9e1caf265c2d7eb9ce374e8f2e76380b03045b622a431ed36c,14iQ5FASFuP7lwhUFi1expS9ZgAGIgkUo,https://drive.google.com/file/d/14iQ5FASFuP7lwhUFi1expS9ZgAGIgkUo/view,public read-only inherited,Complete-sample stability MGWR coefficients used by final zoning
0.1.0,02_large_derived_artifacts,westernus_epa_l3_zoning_analysis_units.gpkg,41631744,8d19b125e687757a2215054a7f0cebf22e11da115ccc19b1765a1600a8091bf9,1vze_NF-Oa8IaKI26510Zp0nSGs4FqA17,https://drive.google.com/file/d/1vze_NF-Oa8IaKI26510Zp0nSGs4FqA17/view,public read-only inherited,Exact EPA-derived 86-feature analysis units used by final zoning
