response,variant,split,rows,n_predictors,r2,rmse
IRI_good_pow2,M2_evt_group_class,block,56259,33,0.3787473042817071,0.15190044633354008
IRI_good_pow2,M3_evt_raw_code,block,56259,217,0.35486068577749774,0.15479312250406516
IRI_good_pow2,M1_baseline_only,block,56259,27,0.26444583325887394,0.16528454129724607
IRI_good_pow2,M3_evt_raw_code,random,56259,217,0.6654599701363857,0.11119495761639013
IRI_good_pow2,M2_evt_group_class,random,56259,33,0.6476672931313402,0.11411363196995884
IRI_good_pow2,M1_baseline_only,random,56259,27,0.6339278811477052,0.11631731655978028
Resistance,M2_evt_group_class,block,133372,33,0.2960417034497259,0.16345645334852446
Resistance,M3_evt_raw_code,block,133372,217,0.27763697989425196,0.16557942042676482
Resistance,M1_baseline_only,block,133372,27,0.1976835068256877,0.17450242461171445
Resistance,M3_evt_raw_code,random,133372,217,0.6771911836292612,0.11483639989469542
Resistance,M2_evt_group_class,random,133372,33,0.6752318565935782,0.11518437935582147
Resistance,M1_baseline_only,random,133372,27,0.6513177379177479,0.11934982942967234
STAB_good_pow2,M2_evt_group_class,block,56259,33,0.32516632374884047,0.06496170691452553
STAB_good_pow2,M3_evt_raw_code,block,56259,217,0.276065541246187,0.06728351611853944
STAB_good_pow2,M1_baseline_only,block,56259,27,0.16945412827853878,0.07206773387965983
STAB_good_pow2,M2_evt_group_class,random,56259,33,0.6440439154069579,0.048582961409339966
STAB_good_pow2,M3_evt_raw_code,random,56259,217,0.6318364063086699,0.049409014742039965
STAB_good_pow2,M1_baseline_only,random,56259,27,0.5833988145443919,0.05255887057558665
T50,M1_baseline_only,block,56259,27,0.05623586260481528,0.4373477763158697
T50,M2_evt_group_class,block,56259,33,0.03904002820806629,0.44131413357013777
T50,M3_evt_raw_code,block,56259,217,-0.1955575072782023,0.4922439906869107
T50,M3_evt_raw_code,random,56259,217,0.4226521480272627,0.30036939246851274
T50,M2_evt_group_class,random,56259,33,0.41006789906955177,0.30362526953706853
T50,M1_baseline_only,random,56259,27,0.3648353247201531,0.31505042321343246
T80,M2_evt_group_class,block,56259,33,0.2629383507903834,2.4170534081458315
T80,M3_evt_raw_code,block,56259,217,0.24474157857026402,2.446707920212438
T80,M1_baseline_only,block,56259,27,0.1901168366926108,2.533643605025208
T80,M3_evt_raw_code,random,56259,217,0.5323763096517244,1.9179298338399342
T80,M2_evt_group_class,random,56259,33,0.5225777118302377,1.9379198324613545
T80,M1_baseline_only,random,56259,27,0.504326493576128,1.9746144719097136
