response,variant,split,eligible_rows,train_rows,test_rows,n_predictors,r2,rmse
IRI_good_pow2,M1_baseline_only,block,56259,41617,14642,27,0.2510167420061772,0.1667865256250263
IRI_good_pow2,M2_evt_group_class,block,56259,41617,14642,33,0.37098315134586535,0.1528466927719197
IRI_good_pow2,M3_evt_raw_code,block,56259,41617,14642,217,0.30370376440066216,0.16081328756857266
IRI_good_pow2,M1_baseline_only,random,56259,45007,11252,27,0.4354925668372964,0.1444427939624401
IRI_good_pow2,M2_evt_group_class,random,56259,45007,11252,33,0.48495241268446376,0.1379700197698543
IRI_good_pow2,M3_evt_raw_code,random,56259,45007,11252,217,0.4238069189369009,0.1459301629614108
Resistance,M1_baseline_only,block,133372,106387,26985,27,0.18903550658061485,0.17544036633033572
Resistance,M2_evt_group_class,block,133372,106387,26985,33,0.27142722262803154,0.1662895950157272
Resistance,M3_evt_raw_code,block,133372,106387,26985,217,0.23908856225179564,0.16994001871129943
Resistance,M1_baseline_only,random,133372,106697,26675,27,0.4022074567233166,0.15627234241713217
Resistance,M2_evt_group_class,random,133372,106697,26675,33,0.4518631280198949,0.14964126945785658
Resistance,M3_evt_raw_code,random,133372,106697,26675,217,0.42297339640641096,0.15353408091357046
STAB_good_pow2,M1_baseline_only,block,56259,41617,14642,27,0.1368615855445915,0.0734681792653541
STAB_good_pow2,M2_evt_group_class,block,56259,41617,14642,33,0.29729229645968414,0.06628975463636314
STAB_good_pow2,M3_evt_raw_code,block,56259,41617,14642,217,0.19836958544112404,0.07080210135299121
STAB_good_pow2,M1_baseline_only,random,56259,45007,11252,27,0.37107841842980116,0.06457791550819833
STAB_good_pow2,M2_evt_group_class,random,56259,45007,11252,33,0.49678004851966395,0.05776498956993953
STAB_good_pow2,M3_evt_raw_code,random,56259,45007,11252,217,0.39607069015140295,0.06328180048195992
