US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,eco_id,n_pixels,x_mean,y_mean,Resistance,IRI_good_pow2,STAB_good_pow2,R_comp_no_t80,forest_structure_support,forest_structure_constraint,climate_constraint_score,human_pressure_score,forest_structure_net,climate_net,human_net,evt_group_mode,project_region_mode,nearest_l3_distance_max_m,Resistance_forest_structure_support,Resistance_forest_structure_constraint,Resistance_climate_constraint_score,Resistance_human_pressure_score,IRI_good_pow2_forest_structure_support,IRI_good_pow2_forest_structure_constraint,IRI_good_pow2_climate_constraint_score,IRI_good_pow2_human_pressure_score,STAB_good_pow2_forest_structure_support,STAB_good_pow2_forest_structure_constraint,STAB_good_pow2_climate_constraint_score,STAB_good_pow2_human_pressure_score,forest_level,climate_level,human_level,cube_code,max_constraint_score,dominant_constraint_dimension,dominant_effect_dimension,mechanism_zone,management_zone,low_priority_subtype,high_resilience_mechanism_subtype,R_comp_equal,forest_structure_influence,forest_structure_abs_net,forest_structure_direction,dominant_mechanism_raw,dominant_score,dominance_margin,dominance_ratio,mechanism_zone_q75,resilience_priority_class,management_zone_q75
1,Coast Range,7.1.8,Coast Range,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,1 Coast Range,473,-2299335.0951374206,2172286.469344609,0.8986035,0.9207974,0.9201395,0.7718956834096181,0.26012964193153865,0.0030042655408478495,0.10140387057202904,0.03043035270223821,0.2406861534858992,-0.0008271273448994624,0.2721299175979539,conifer,CA_med,0.0,0.2724877667328254,0.002124443832440517,0.2946662498869995,0.0329698244519923,0.18967278292646497,0.00090308609937766,0.03695074390775403,0.02948647957147211,0.3101116098088464,0.0,0.0,0.032441908489159024,4,3,1,4-3-1,0.10140387057202904,climate_constraint,human_pressure,Structure-dominated resilience zone,High-resilience conservation zone,,Structure-dominated resilience zone,0.9871794871794872,0.0030042655408478495,0.2571253763906908,support,climate,0.10140387057202904,0.07097351786979084,3.332326495334068,Mixed-control transition,High,High-resilience conservation priority
10,Columbia Plateau,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10 Columbia Plateau,134,-1763723.880597015,2916507.462686567,0.7952752,0.82861274,0.83165455,0.5257993265682396,0.011757714936534578,0.36964091467058746,0.05198000729653454,0.08810494727594195,-0.3557167341937653,0.16110565240600316,0.15569572319868782,conifer,PNW,0.0,0.0,0.2549403363510402,0.06482793828130456,0.046652190467662655,0.0016411066826698124,0.3946939792383347,0.07235646758070752,0.05999160043056987,0.0,0.413234930428908,0.00022654116309400762,0.07856727944704286,1,2,3,1-2-3,0.36964091467058746,forest_structure,forest_structure,Mixed-control transition zone,Mixed-control transition zone,,,0.6153846153846154,0.36964091467058746,0.35788319973405286,constraint,structure,0.36964091467058746,0.2815359673946455,4.195461504708511,Structure-dominated constraint,Moderate,Structure-constraint management
11,Blue Mountains,6.2.9,Blue Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,11 Blue Mountains,2455,-1731350.1018329938,2650665.3767820774,0.8424749,0.842977,0.872831,0.6277441665179913,0.051451942218721076,0.08615857920971005,0.06253868147835626,0.09113480240420481,-0.021838460642034627,0.08263420327794592,0.22704397249736938,conifer,N_Rockies,0.0,0.037738784322552885,0.0504050643525603,0.0,0.06331323307938001,0.05731541400508576,0.03674679388128072,0.04415184738015872,0.08287674115787606,0.026650606359344003,0.08087897476928527,0.07171083715539925,0.11338439812303856,3,3,4,3-3-4,0.09113480240420481,human_pressure,human_pressure,Human-pressure affected zone,High-resilience conservation zone,,Human-pressure affected zone,0.8589743589743589,0.08615857920971005,0.03470663699098898,constraint,human,0.09113480240420481,0.0049762231944947555,1.0577565605206027,Mixed-control transition,High,High-resilience conservation priority
13,Central Basin and Range,10.1.5,Central Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,13 Central Basin and Range,1775,-1562013.2394366197,1911959.718309859,0.76827884,0.7817644,0.8464406,0.523604920430814,0.016204461635001603,0.4460001371736322,0.0,0.06423667734564466,-0.40529553903004817,0.22759504278842577,0.02924489139257183,conifer,S_Rockies,0.0,0.0,0.5084020413832304,0.0,0.0625045668732435,0.0,0.4155541519106033,0.0,0.05144123532182385,0.0,0.3775656457505227,0.0,0.042134238028675386,2,1,2,2-1-2,0.4460001371736322,forest_structure,forest_structure,Mixed-control transition zone,Mixed-control transition zone,,,0.641025641025641,0.4460001371736322,0.4297956755386306,constraint,structure,0.4460001371736322,0.38176345982798754,6.943076068112848,Structure-dominated constraint,Moderate,Structure-constraint management
14,Mojave Basin and Range,10.2.1,Mojave Basin and Range,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,14 Mojave Basin and Range,170,-1707511.7647058824,1657588.2352941176,0.6746417,0.70937645,0.8138076,0.42154095284302573,0.5102134325207348,0.741768350706056,0.0,0.043596172645253645,-0.28581929144510815,0.25474813417199216,-0.019780415677357506,conifer,SW_dry,0.0,0.673690995018395,0.7818032675678216,0.0,0.03066577807570104,0.7159505228022917,0.7591315979711883,0.0,0.0317540423583295,0.1410873961940168,0.730460371092631,0.0,0.06135342296772758,4,1,1,4-1-1,0.741768350706056,forest_structure,forest_structure,Structure-dominated resilience zone,Low-resilience restoration priority zone,forest_structure,,0.21794871794871795,0.741768350706056,0.23155491818532115,constraint,structure,0.741768350706056,0.6981721780608023,17.014529159288777,Structure-dominated constraint,Low,Low-resilience restoration priority
15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,15 Northern Rockies,1361,-1483175.9735488612,2897488.2439382807,0.7633154,0.76226836,0.84584135,0.5258390159557498,0.06785903610384855,0.055950923304645205,0.013681677927220165,0.061303724003015904,0.017489617765185598,0.12418921775538032,0.2654966558139101,conifer,N_Rockies,0.0,0.09256271614336327,0.0437712832276227,0.00984566358447819,0.05865664015667469,0.0513466636058144,0.01880347661082233,0.008346221382278553,0.06000220945676348,0.049972762010333516,0.10212649848996791,0.029212866172139265,0.05203493891724953,3,1,2,3-1-2,0.061303724003015904,human_pressure,human_pressure,Structure-dominated resilience zone,Structure-dominated resilience zone,,,0.5641025641025641,0.055950923304645205,0.011908112799203348,support,human,0.061303724003015904,0.005352800698370699,1.0956695686543978,Mixed-control transition,Moderate,Mixed-control transition
16,Idaho Batholith,6.2.15,Idaho Batholith,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,16 Idaho Batholith,11222,-1492722.5984672965,2597951.7911245767,0.7392875,0.70511585,0.8443387,0.4637694538771828,0.026081338076443757,0.3501178118619076,0.18610580607419186,0.07655862752085599,-0.29359584807562394,-0.07453951263781786,0.3597617550304638,conifer,N_Rockies,0.0,0.015080994751746197,0.4084475930489656,0.2787689312948246,0.06499194278679857,0.026037981605937503,0.20349503820058767,0.19271114947324972,0.08170868335653564,0.014410607113242643,0.45352738235029144,0.05756056167905953,0.06628667338199441,2,4,3,2-4-3,0.3501178118619076,forest_structure,human_pressure,Mixed-control transition zone,Mixed-control transition zone,,,0.4102564102564103,0.3501178118619076,0.32403647378546385,constraint,structure,0.3501178118619076,0.16401200578771574,1.881283659266018,Structure-dominated constraint,Moderate,Structure-constraint management
17,Middle Rockies,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,17 Middle Rockies,3868,-1156005.4291623577,2511787.487073423,0.7212437,0.7071342,0.8189246,0.433050280450839,0.03780697292973298,0.11163434572231766,0.230521092432324,0.104629622019891,-0.06750313836745286,-0.12052445412698673,0.13312461194958158,shrub,N_Rockies,0.0,0.0312712956555008,0.13791067399668805,0.27062925555852513,0.06993323255580779,0.037827423589296846,0.0712337042238011,0.1851381103009641,0.11644404529196273,0.01395093552398128,0.11986970191169924,0.19270273238728516,0.08311125411091956,2,4,4,2-4-4,0.230521092432324,climate_constraint,human_pressure,Climate-dominated recovery constraint zone,Low-resilience restoration priority zone,climate_constraint,,0.2948717948717949,0.11163434572231766,0.07382737279258468,constraint,climate,0.230521092432324,0.11888674671000633,2.0649656782665122,Mixed-control transition,Moderate,Mixed-control transition
19,Wasatch and Uinta Mountains,6.2.13,Wasatch and Uinta Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,19 Wasatch and Uinta Mountains,1030,-1361550.4854368933,1885848.5436893203,0.7822593,0.82864726,0.8318075,0.5338229812121011,0.0448269543305089,0.07968933341679467,0.06415467293447158,0.04474857241314482,-0.032493306113830195,-0.013417604746187129,0.02334499017715851,shrub,S_Rockies,0.0,0.024394621658676764,0.08794215723015594,0.05777181624215094,0.0494004051230267,0.03979308062921896,0.057809643169864616,0.07105813142519887,0.04512279732947636,0.008208159454717905,0.10409660230673684,0.046212794768500945,0.032114457349035744,3,3,1,3-3-1,0.07968933341679467,forest_structure,forest_structure,Mixed-control transition zone,Mixed-control transition zone,,,0.6282051282051282,0.07968933341679467,0.03486237908628577,constraint,structure,0.07968933341679467,0.01553466048232309,1.242143865314229,Mixed-control transition,Moderate,Mixed-control transition
20,Colorado Plateaus,10.1.6,Colorado Plateaus,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,20 Colorado Plateaus,1035,-1201545.4106280194,1872632.3671497584,0.79611766,0.8556657,0.8391641,0.5639250990182446,0.03585568593690288,0.20597140702247088,0.01746372303274024,0.05037498549088188,-0.17036412972832327,0.060187613115132266,0.02458373386824354,shrub,S_Rockies,0.0,0.0,0.25533423874685446,0.02717188965670827,0.04431061181704184,0.056620615616176144,0.1620896098758026,0.0038647063662921297,0.03907570219271233,0.0003828562126228246,0.20627126497509482,0.0004554169368958562,0.034329153050841124,2,2,1,2-2-1,0.20597140702247088,forest_structure,forest_structure,Mixed-control transition zone,High-resilience conservation zone,,Mixed-control transition zone,0.7435897435897436,0.20597140702247088,0.170115721085568,constraint,structure,0.20597140702247088,0.155596421531589,4.088763599936971,Mixed-control transition,High,High-resilience conservation priority
